Code,Title,Description,Source
contractAnnexe,Annexes to the Contract,Copies of annexes and other supporting documentation related to the contract.,OCDS
subContract,Subcontracts,"Documentation detailing subcontracts and/or providing a copy of subcontracts themselves. Where OCDS data on the subcontracts exists, this can be declared using the relatedProcess block.",OCDS
projectPlan,Project plan,"Documentation of project planning for this contracting process, and, where applicable, a copy of the project plan document.",OCDS
billOfQuantity,Bill Of Quantity,"Documentation that provides itemized information on materials, parts and labour, and the terms and conditions for their provision, providing information that would enable bidders to price work effectively. Structured versions of item and quantity information at each of tender, award and contract stage can be provided using units within the items building block.",OCDS
bidders,Information on bidders,"Documentation on bidders or participants, their validation documents and any procedural exemptions for which they qualify",OCDS
conflictOfInterest,Conflict of Interest,Documentation of conflicts of interest declared or uncovered.,OCDS
debarments,Debarments,Documentation of any debarments issued.,OCDS
illustration,Illustrations,"Images intended to provide supporting information. The URL for images should generally be directly to an image file which applications can display as part of a gallery of images. At the tender stage, images may be illustrations of goods, works or services required or for sale. At the implementation stage, images may be illustrations or visual evidence of physical progress.",OCDS
submissionDocuments,Bid Submission Documents,Documentation submitted by a bidder as part of their proposal.,OCDS
contractSummary,Contract Summary,Documentation providing an overview of the key terms and sections of the contract. Commonly used for large and complex contracts.,OCDS
cancellationDetails,Cancellation Details,"Documentation the arrangements, or reasons, for cancellation of a contracting process, award or specific contract.",OCDS
projectScope,Project scope,"A description of the main outputs from the project that are being taken forward into construction (including type, quantity and units)",OC4IDS
landAndSettlementImpact,Land and Settlement Impact,"State the amount of land and property that was acquired for the project (e.g. 25sq km land), and outline related impacts (e.g. archaeological issues (moved saxon burial site), local/indigenous settlements (relocated 5 indigenous villages of 500 villagers each), impacts on local businesses e.g. (30 business properties purchased)).",OC4IDS
projectEvaluation,Project evaluation,"Generally published at the conclusion of a project, providing a technical and financial summary of delivery.",OC4IDS
budgetApproval,Budget approval,Additional details about the approval of the budget.,OC4IDS
